vm;vlans;Id
OSCL366_SITRSNDDC02 (10.182.100.55)_DESARROLLO-AD;VLAN_4094;4094
OSCL366_SITRSNDDC02 (10.182.100.55)_DESARROLLO-AD;VLAN_107;107
OSCL364_DESARROLLO_API_AD;VLAN_4094;4094
OSCL364_DESARROLLO_API_AD;VLAN_58;58
OS_CL_351_WIN2022;VLAN_820;820
OS_CL_356_WIN2022;VLAN_820;820
OSCL410_WIN2022;VLAN_820;820
OSCL411_WIN2022;VLAN_820;820
OSCL412_WIN2022;VLAN_820;820
OS_CL_12_DEVCLOUD;VLAN_779;779
OS_CL_546_NODO_11_ARQ_SEG;VLAN_116;116
OS_CL_547_NODO_12_ARQ_SEG;VLAN_116;116
OS_CL_548_NODO_13_ARQ_SEG;VLAN_116;116
OS_CL_466_COBOGDTCSQL;VLAN_820;820
OSCL360_CENTOS_SERVER_7.0_64Bits_REVERSEPROXY;VLAN_4088;4088
OSCL360_CENTOS_SERVER_7.0_64Bits_REVERSEPROXY;VLAN_4088;4088
OSCL87_WIN2019;VLAN_523;523
OSCL87_WIN2019;VLAN_452;452
OS_CL_433_COBOGDTCBIRS;VLAN_820;820
OS_CL_434_COBOGCDTCBIBKPS;VLAN_820;820
OSCL361_UBUNTU_SERVER_16.04_LTS_64Bits_METABASE;VLAN_38;38
OS_8234_USMIANAPQWEB;VLAN_38;38
OSCL266_WIN2019;VLAN_85;85
OSCL266_WIN2019;VLAN_38;38
OS_8235_USMIANAPXDOC;VLAN_38;38
OSCL357_CLOUD_WHITE_LABEL;VLAN_38;38
OS_CL_106_WIN2019_DATASOLPYTHON;VLAN_38;38
10364_USMIANAPXDOCFEU;VLAN_38;38
OS_CL_435_IFXUNIVERSITY;VLAN_1001;1001
OS_CL_435_IFXUNIVERSITY;VLAN_38;38
OS_CL_409_121991_ELK_DevDigital_Node2;VLAN_38;38
OS_CL_408_121991_ELK_DevDigital_Node1;VLAN_38;38
OSCL358_IFX_CLOUDAPI;VLAN_38;38
OSCL358_IFX_CLOUDAPI;VLAN_110;110
OSCL406_ELKIFX_Nodo_1;VLAN_38;38
OSCL407_ELK_IFX_Nodo2;VLAN_38;38
OSCL397_USMIANAPBETA;VLAN_38;38
OS_CL_139_120983_USMIANAPAUTO_WIN2022;VLAN_38;38
USMIANAPQWEB1_NEW_1006;VLAN_38;38
OS_CL_492_UBU2204_MONITORING_DEVOPS;VLAN_38;38
OS_CL_422_467_Azure_Server_OnPremise_NEW;VLAN_38;38
OS_CL_545_UBU_DEVCENTER_TESTING_ENVIROMENT;VLAN_1001;1001
